iter	Passed	Remaining
255	1561	4537
256	1567	4532
257	1572	4523
258	1577	4514
259	1584	4510
260	1589	4499
261	1594	4491
262	1600	4485
263	1606	4477
264	1612	4471
265	1618	4465
266	1623	4456
267	1630	4453
268	1636	4448
269	1642	4441
270	1649	4436
271	1654	4427
272	1659	4419
273	1665	4414
274	1670	4403
275	1676	4398
276	1682	4390
277	1687	4381
278	1692	4374
279	1698	4367
280	1703	4358
281	1708	4351
282	1714	4343
283	1719	4335
284	1725	4329
285	1731	4321
286	1736	4313
287	1742	4307
288	1747	4298
289	1752	4290
290	1758	4283
291	1763	4276
292	1769	4269
293	1775	4263
294	1780	4254
295	1784	4245
296	1790	4238
297	1795	4229
298	1800	4221
299	1806	4215
300	1812	4209
301	1817	4201
302	1827	4204
303	1834	4199
304	1840	4195
305	1848	4192
306	1855	4187
307	1860	4179
308	1865	4170
309	1871	4165
310	1876	4157
311	1881	4148
312	1887	4143
313	1893	4136
314	1897	4127
315	1904	4121
316	1908	4112
317	1913	4103
318	1919	4098
319	1924	4090
320	1929	4081
321	1936	4077
322	1942	4070
323	1949	4067
324	1956	4062
325	1962	4056
326	1970	4055
327	1976	4049
328	1983	4045
329	1989	4039
330	1995	4032
331	2003	4030
332	2008	4022
333	2014	4017
334	2020	4009
335	2034	4020
336	2040	4014
337	2046	4008
338	2052	4001
339	2057	3993
340	2062	3985
341	2067	3977
342	2072	3968
343	2076	3960
344	2084	3957
345	2089	3949
346	2096	3945
347	2101	3937
348	2106	3929
349	2112	3924
350	2118	3917
351	2123	3909
352	2131	3905
353	2135	3897
354	2140	3889
355	2147	3885
356	2152	3877
357	2157	3869
358	2162	3862
359	2167	3854
360	2172	3845
361	2178	3839
362	2183	3830
363	2188	3823
364	2193	3815
365	2197	3806
366	2202	3799
367	2208	3792
368	2213	3784
369	2218	3777
370	2224	3770
371	2228	3762
372	2233	3754
373	2237	3744
374	2243	3738
375	2247	3729
376	2252	3721
377	2258	3716
378	2262	3707
379	2267	3699
380	2272	3691
381	2277	3683
382	2281	3675
383	2286	3668
384	2291	3659
385	2295	3650
386	2298	3641
387	2302	3632
388	2307	3624
389	2311	3615
390	2315	3606
391	2321	3601
392	2326	3592
393	2330	3584
394	2334	3576
395	2339	3568
396	2344	3561
397	2349	3554
398	2356	3549
399	2361	3541
400	2366	3534
401	2371	3528
402	2375	3519
403	2380	3511
404	2386	3506
405	2391	3499
406	2396	3492
407	2403	3487
408	2407	3479
409	2417	3479
410	2422	3472
411	2428	3465
412	2434	3459
413	2439	3452
414	2443	3444
415	2448	3437
416	2454	3431
417	2460	3425
418	2464	3417
419	2469	3410
420	2474	3403
421	2479	3396
422	2484	3389
423	2491	3384
424	2497	3378
425	2503	3373
426	2511	3370
427	2521	3369
428	2531	3369
429	2538	3364
430	2544	3359
431	2553	3357
432	2561	3353
433	2570	3352
434	2584	3357
435	2597	3360
436	2603	3354
437	2609	3347
438	2615	3342
439	2621	3335
440	2632	3336
441	2638	3331
442	2647	3328
443	2653	3323
444	2661	3319
445	2667	3313
446	2672	3306
447	2679	3301
448	2685	3295
449	2692	3291
450	2697	3284
451	2703	3277
452	2710	3273
453	2717	3268
454	2724	3263
455	2731	3259
456	2738	3253
457	2743	3246
458	2747	3238
459	2754	3233
460	2759	3226
461	2764	3219
462	2771	3214
463	2776	3206
464	2781	3199
465	2788	3195
466	2793	3187
467	2797	3179
468	2804	3175
469	2811	3170
470	2816	3163
471	2821	3156
472	2826	3148
473	2830	3140
474	2836	3134
475	2840	3126
476	2844	3118
477	2850	3112
478	2853	3104
479	2858	3096
480	2862	3089
481	2867	3082
482	2872	3074
483	2876	3066
484	2881	3059
485	2885	3052
486	2889	3044
487	2893	3036
488	2899	3029
489	2903	3021
490	2907	3014
491	2912	3007
492	2916	2999
493	2920	2991
494	2924	2983
495	2929	2977
496	2933	2969
497	2938	2961
498	2942	2954
499	2947	2947
500	2952	2940
501	2956	2933
502	2962	2927
503	2966	2919
504	2970	2911
505	2974	2904
506	2979	2897
507	2983	2889
508	2987	2881
509	2992	2875
510	2997	2867
511	3001	2860
512	3005	2853
513	3011	2847
514	3015	2839
515	3019	2832
516	3024	2825
517	3029	2818
518	3033	2811
519	3037	2803
520	3043	2798
521	3047	2790
522	3051	2783
523	3056	2776
524	3060	2769
525	3065	2762
526	3069	2754
527	3074	2748
528	3079	2741
529	3084	2734
530	3089	2729
531	3094	2722
532	3098	2715
533	3102	2707
534	3108	2701
535	3112	2694
536	3117	2688
537	3123	2682
538	3127	2674
539	3131	2667
540	3135	2659
541	3139	2653
542	3143	2645
543	3148	2638
544	3152	2632
545	3156	2624
546	3161	2618
547	3166	2611
548	3172	2606
549	3176	2599
550	3180	2591
551	3189	2588
552	3194	2582
553	3198	2575
554	3205	2569
555	3209	2562
556	3213	2556
557	3219	2549
558	3224	2543
559	3228	2536
560	3232	2529
561	3236	2522
562	3241	2515
563	3245	2508
564	3251	2503
565	3255	2496
566	3259	2489
567	3263	2482
568	3269	2476
569	3273	2469
570	3278	2463
571	3284	2457
572	3289	2451
573	3294	2444
574	3299	2438
575	3303	2432
576	3307	2424
577	3312	2418
578	3316	2411
579	3320	2404
580	3326	2398
581	3331	2392
582	3335	2385
583	3339	2378
584	3344	2372
585	3349	2366
586	3354	2360
587	3359	2353
588	3365	2348
589	3370	2342
590	3374	2335
591	3380	2329
592	3386	2324
593	3391	2317
594	3396	2312
595	3401	2305
596	3406	2299
597	3411	2293
598	3416	2286
599	3420	2280
600	3425	2274
601	3429	2267
602	3434	2260
603	3438	2254
604	3443	2248
605	3447	2241
606	3451	2234
607	3456	2228
608	3463	2223
609	3466	2216
610	3471	2209
611	3477	2204
612	3480	2197
613	3484	2190
614	3489	2184
615	3493	2177
616	3498	2171
617	3502	2164
618	3508	2159
619	3512	2152
620	3516	2146
621	3521	2139
622	3525	2133
623	3529	2126
624	3533	2120
625	3539	2114
626	3542	2107
627	3546	2101
628	3551	2094
629	3557	2089
630	3561	2082
631	3566	2076
632	3572	2071
633	3577	2064
634	3589	2063
635	3595	2057
636	3599	2051
637	3606	2046
638	3611	2040
639	3616	2034
640	3622	2028
641	3628	2023
642	3633	2017
643	3638	2011
644	3643	2005
645	3646	1998
646	3651	1992
647	3656	1986
648	3660	1979
649	3664	1973
650	3669	1967
651	3673	1960
652	3677	1954
653	3682	1947
654	3687	1942
655	3691	1935
656	3695	1929
657	3700	1923
658	3705	1917
659	3709	1910
660	3714	1904
661	3719	1898
662	3723	1892
663	3727	1885
664	3732	1880
665	3736	1874
666	3741	1868
667	3746	1862
668	3750	1855
669	3755	1849
670	3759	1843
671	3765	1837
672	3769	1831
673	3773	1825
674	3777	1818
675	3782	1812
676	3786	1806
677	3791	1800
678	3796	1794
679	3801	1789
680	3806	1782
681	3810	1776
682	3814	1770
683	3820	1765
684	3824	1758
685	3829	1753
686	3834	1746
687	3838	1740
688	3842	1734
689	3846	1728
690	3850	1722
691	3855	1716
692	3861	1710
693	3866	1704
694	3870	1698
695	3876	1693
696	3880	1687
697	3885	1681
698	3889	1674
699	3893	1668
700	3897	1662
701	3901	1656
702	3905	1650
703	3910	1643
704	3913	1637
705	3918	1631
706	3924	1626
707	3930	1620
708	3935	1615
709	3940	1609
710	3945	1603
711	3949	1597
712	3955	1592
713	3960	1586
714	3964	1580
715	3969	1574
716	3977	1569
717	3982	1564
718	3988	1558
719	3993	1553
720	3997	1546
721	4002	1541
722	4007	1535
723	4011	1529
724	4015	1522
725	4020	1517
726	4024	1511
727	4029	1505
728	4037	1501
729	4041	1494
730	4045	1488
731	4052	1483
732	4056	1477
733	4060	1471
734	4065	1465
735	4070	1460
736	4074	1453
737	4078	1448
738	4085	1442
739	4090	1437
740	4100	1433
741	4108	1428
742	4115	1423
743	4122	1418
744	4127	1412
745	4134	1407
746	4140	1402
747	4145	1396
748	4151	1391
749	4155	1385
750	4159	1379
751	4167	1374
752	4171	1368
753	4175	1362
754	4180	1356
755	4185	1350
756	4190	1345
757	4194	1339
758	4200	1333
759	4204	1327
760	4208	1321
761	4214	1316
762	4219	1310
763	4224	1304
764	4230	1299
765	4236	1294
766	4240	1288
767	4247	1283
768	4251	1277
769	4257	1271
770	4263	1266
771	4268	1260
772	4273	1254
773	4278	1249
774	4282	1243
775	4287	1237
776	4292	1231
777	4297	1226
778	4301	1220
779	4305	1214
780	4310	1208
781	4314	1202
782	4318	1196
783	4323	1191
784	4328	1185
785	4332	1179
786	4337	1173
787	4342	1168
788	4346	1162
789	4350	1156
790	4354	1150
791	4359	1144
792	4365	1139
793	4370	1134
794	4376	1128
795	4380	1122
796	4384	1116
797	4390	1111
798	4394	1105
799	4398	1099
800	4402	1093
801	4407	1088
802	4411	1082
803	4415	1076
804	4419	1070
805	4423	1064
806	4427	1058
807	4431	1053
808	4435	1047
809	4440	1041
810	4444	1035
811	4448	1030
812	4453	1024
813	4457	1018
814	4461	1012
815	4466	1007
816	4472	1001
817	4477	996
818	4482	990
819	4488	985
820	4492	979
821	4498	974
822	4503	968
823	4508	962
824	4513	957
825	4518	951
826	4522	946
827	4526	940
828	4531	934
829	4536	929
830	4540	923
831	4545	917
832	4550	912
833	4554	906
834	4559	901
835	4564	895
836	4569	889
837	4574	884
838	4578	878
839	4584	873
840	4589	867
841	4593	862
842	4599	856
843	4605	851
844	4609	845
845	4614	839
846	4623	835
847	4631	830
848	4638	824
849	4643	819
850	4651	814
851	4656	808
852	4663	803
853	4670	798
854	4677	793
855	4684	788
856	4689	782
857	4695	777
858	4699	771
859	4703	765
860	4709	760
861	4714	754
862	4719	749
863	4725	743
864	4729	738
865	4733	732
866	4738	726
867	4743	721
868	4748	715
869	4752	710
870	4760	705
871	4765	699
872	4770	693
873	4776	688
874	4781	683
875	4785	677
876	4789	671
877	4794	666
878	4798	660
879	4802	654
880	4807	649
881	4811	643
882	4816	638
883	4820	632
884	4825	627
885	4829	621
886	4834	615
887	4839	610
888	4844	604
889	4848	599
890	4853	593
891	4858	588
892	4862	582
893	4866	576
894	4870	571
895	4875	565
896	4879	560
897	4883	554
898	4889	549
899	4894	543
900	4897	538
901	4903	532
902	4908	527
903	4913	521
904	4918	516
905	4923	510
906	4927	505
907	4932	499
908	4938	494
909	4943	488
910	4948	483
911	4953	477
912	4958	472
913	4963	467
914	4969	461
915	4973	456
916	4976	450
917	4981	445
918	4987	439
919	4991	434
920	4995	428
921	5001	423
922	5005	417
923	5009	412
924	5014	406
925	5018	401
926	5022	395
927	5026	389
928	5030	384
929	5035	379
930	5040	373
931	5044	368
932	5049	362
933	5054	357
934	5058	351
935	5063	346
936	5067	340
937	5071	335
938	5075	329
939	5080	324
940	5084	318
941	5088	313
942	5092	307
943	5098	302
944	5102	296
945	5106	291
946	5111	286
947	5116	280
948	5122	275
949	5127	269
950	5132	264
951	5136	258
952	5140	253
953	5148	248
954	5154	242
955	5159	237
956	5164	232
957	5168	226
958	5173	221
959	5178	215
960	5183	210
961	5187	204
962	5193	199
963	5197	194
964	5202	188
965	5206	183
966	5211	177
967	5214	172
968	5219	166
969	5224	161
970	5228	156
971	5233	150
972	5237	145
973	5242	139
974	5246	134
975	5250	129
976	5255	123
977	5260	118
978	5264	112
979	5268	107
980	5274	102
981	5277	96
982	5282	91
983	5286	85
984	5290	80
985	5294	75
986	5299	69
987	5304	64
988	5309	59
989	5313	53
990	5318	48
991	5324	42
992	5330	37
993	5334	32
994	5340	26
995	5345	21
996	5349	16
997	5354	10
998	5360	5
999	5366	0
