epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.8135808110237122,0.408535897731781,0.001,0.8546108603477478,0.3255261778831482
1,0.9086062908172607,0.2222079634666443,0.001,0.8680703639984131,0.32050561904907227
2,0.9474894404411316,0.1349191963672638,0.001,0.8623400926589966,0.40164801478385925
3,0.9648818969726562,0.08742309361696243,0.001,0.8600746393203735,0.5280390977859497
4,0.9718788266181946,0.06647774577140808,0.001,0.8512793183326721,0.628897488117218
